9/27,BLOGE,WPからZolaに変更, ,2022
4/3,BS,1stトレーラーを公開,PV,2021
11/27,BLOGJ,インターネット時代の著作権について,JP,2020
10/30,BLOGJ,ゲームの絵作りは最後にすべき,JP,2020
10/1,WEB,Webサイトのリニューアル,Ver2.0,2020
7/26,BLOGJ,スクリプトでSpriteを作る,JP,2020
3/20,TGA,繁体字のテキストデータを追加.<br>UIをいくつか修正,Ver.1.61,2020
2/24,TGA,TrackTargetのサイズを40?から50?に変更<br>TrackTargetの初期スピードを2割ぐらい落とし、レベルアップ時の加速を半分にする<br>Standardの横幅出現範囲を2メートル狭め、Reactは1m狭くする<br>Reactモードを的の総数ではなく、的の出現時間を短くするように変更（最大3回11個ごとに出現数1つ増えて、消える時間が0.5秒早くなる）<br>Trackの得点計算を基礎ポイント+HIT数&#8315;MISS数に変更<br>新モードの追加<br>HUDの配置変更ができていなかったバグを修正,Ver.1.6,2020
4/30,BLOGE,端末の解像度に左右されずに同じ解像度のスクショをとる方法,EN,2020
3/29,BLOGE,タップ、ダブルタップ、ロングタップを識別できるボタン,EN,2020
2/15,BLOGE,any stateからキー入力で遷移する方法,EN,2020
2/2,TGA,的を70?から50?に変更し、出現範囲も縦は3割ぐらい狭くする<br>広告の頻度をあげて、動画視聴で広告を消せる期間を長くする<br>Title画面で画面を押さなくてもログインするように変更,Ver.1.5,2020
1/15,TGA,Unityのバージョンを2019.1.14に更新<br>プライバシーポリシーの変更<br>UI微調整<br>カメラ感度の上限を変更<br>リーダーボードを外部のものに変更<br>Normalのリーダーボードを追加<br>バナー広告をやめてゲーム後だけにする,Ver.1.4,2020
1/2,BLOGE,ScriptableObjectパーフェクトガイド,EN,2020
10/11,BLOGE,2Dモデルをアニメーションさせる方法,JA,2019
10/06,BLOGE,TouchScriptの使い方,JA,2019
9/5,TGA,GooglePlayにログインするタイミングをMenu変遷時に変更<br>リーダーボードを修正（NameSpaceを追加）<br>x84への対応をやめる（スマホ１、時計っぽいのが５つ非対応に）,Ver.1.33,2019
9/1,TGA,ゲーム内でスコア詳細だけを画像保存する機能を削除<br>プライバシーポリシーを詳細に更新（英、日のみ。中、韓はそのうち追加予定）<br>テーマダークに配慮してゲーム結果表示の際に背景を追加<br>Auto射撃のプログラムを少し変更（ボタンを押すたびに射撃システムを一巡させていたのをゲームモード移行時点で一部メモリ上に保存）<br>ターゲットの当たり判定をプログラムから明示的に管理（一部端末でターゲットにヒットしなかった問題が解決する？）<br>（多分）リーダーボードの機能を修正,Ver.1.32,2019
8/23,TGA,更新時にTarget関連のバグが発生したのを修正,Ver1.31,2019
8/23,TGA,単射時の射撃タイミングをタップ時から指を話した瞬間に変更<br>武器とカメラ感度調整の変更をボタンからも行えるように変更<br>武器とカメラ感度の数値を可視化,Ver.1.3,2019
8/13,TGA,前回の更新以降ゲーム中に射撃ができないバグが発生したため、銃声や当たり判定の順で加えた変更を少し修正<br>※同時期にGooglePlayGameService関連で手を加えたものがあるため、この修正で治らなければそちら側の変更を検討,Ver.1.23,2019
8/11,TGA,【銃声サウンド再生、当たり判定の発生、反動】という順から【当たり判定の発生、銃声サウンドの再生、反動】の順に変更<br>ゲーム終了時に表示される広告を4回ごとから5回ごとに変更,Ver.1.22,2019
8/11,TGA,プライバシーポリシーを追加<br>タイトル画像でGODのO部分に銃創を入れていたのが宗教的な配慮に欠けるためAIMのAに銃創を移動,Ver.1.21,2019
8/9,TGA,リリース,Ver.1.2,2019
